id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-08-18 05:25:03,"{""short_code"":""ENE3UF"",""original_url"":""https://relay.cloud/harbor/garden/1""}"
2,2,150,created,2025-10-30 20:22:45,"{""short_code"":""MTOGkL"",""original_url"":""https://seeded.app/opal/trail/2""}"
3,3,67,created,2025-03-12 19:08:20,"{""short_code"":""3oSDPs"",""original_url"":""https://opswise.net/harbor/meadow/3""}"
4,4,101,created,2025-01-05 03:59:32,"{""short_code"":""916Ybx"",""original_url"":""https://acme.dev/tidy/meadow/4""}"
5,5,44,created,2025-08-31 04:59:15,"{""short_code"":""hkuitj"",""original_url"":""https://relay.cloud/calm/trail/5""}"
6,6,301,created,2026-01-20 15:07:24,"{""short_code"":""t71A1i"",""original_url"":""https://relay.cloud/vivid/window/6""}"
7,7,130,created,2025-03-21 20:12:25,"{""short_code"":""yyhTXO"",""original_url"":""https://example.com/navy/beacon/7""}"
8,8,91,created,2025-09-06 03:59:26,"{""short_code"":""n52enq"",""original_url"":""https://acme.dev/keen/zenith/8""}"
9,9,328,created,2025-06-15 03:48:57,"{""short_code"":""m42sQA"",""original_url"":""https://seeded.app/calm/beacon/9""}"
10,10,85,created,2025-06-24 06:34:44,"{""short_code"":""Yb4WwP"",""original_url"":""https://example.com/gold/delta/10""}"
11,11,174,created,2025-07-17 18:19:30,"{""short_code"":""XdGTIL"",""original_url"":""https://seeded.app/proud/yard/11""}"
12,12,182,created,2025-04-15 11:37:00,"{""short_code"":""uLMMXE"",""original_url"":""https://example.com/forest/lagoon/12""}"
13,13,159,created,2025-01-08 10:53:29,"{""short_code"":""kMUS3h"",""original_url"":""https://seeded.app/quiet/lagoon/13""}"
14,14,317,created,2025-05-31 14:44:20,"{""short_code"":""BcFGL7"",""original_url"":""https://hackstack.io/keen/kernel/14""}"
15,15,176,created,2025-11-25 11:26:53,"{""short_code"":""1N7nYG"",""original_url"":""https://seeded.app/forest/river/15""}"
16,16,266,created,2025-12-12 12:17:44,"{""short_code"":""GcF2ml"",""original_url"":""https://example.com/urban/quartz/16""}"
17,17,299,created,2025-05-08 17:58:48,"{""short_code"":""93pjtq"",""original_url"":""https://example.com/proud/island/17""}"
